Example plane history CSV file

icao,manufacturer,model,full_model,airline,location_history,altitude,timestamp
4075E0,Airbus,A321 251NXSL,Airbus A321 251NXSL,easyJet UK,"{'22:01:12': ['51.56154', '1.66591'], '22:01:18': ['51.56149', '1.64703'], '22:01:34': ['51.56145', '1.59985'], '22:01:39': ['51.56140', '1.58173'], '22:01:46': ['51.56140', '1.56236'], '22:01:53': ['51.56136', '1.54083'], '22:01:59': ['51.56126', '1.52124'], '22:02:06': ['51.56121', '1.49963'], '22:02:12': ['51.56117', '1.48071'], '22:02:26': ['51.56108', '1.43802'], '22:03:23': ['51.56084', '1.26152'], '22:03:30': ['51.56076', '1.24042'], '22:03:59': ['51.56035', '1.15356'], '22:04:06': ['51.56023', '1.13503'], '22:04:27': ['51.55980', '1.07213'], '22:04:33': ['51.55971', '1.05157'], '22:04:40': ['51.55962', '1.03116'], '22:04:56': ['51.55940', '0.98457'], '22:05:02': ['51.55935', '0.96718'], '22:05:10': ['51.55921', '0.94353'], '22:05:17': ['51.55912', '0.92300'], '22:05:24': ['51.55898', '0.90236'], '22:05:31': ['51.55884', '0.88165'], '22:05:39': ['51.55870', '0.85808'], '22:05:43': ['51.55856', '0.84513'], '22:05:51': ['51.55842', '0.82169'], '22:05:58': ['51.55824', '0.80104'], '22:06:07': ['51.55800', '0.77415'], '22:06:13': ['51.55788', '0.75590'], '22:06:22': ['51.55769', '0.73037'], '22:06:28': ['51.55753', '0.71114'], '22:06:36': ['51.55739', '0.68901'], '22:06:44': ['51.55726', '0.66475'], '22:06:51': ['51.55707', '0.64201'], '22:07:00': ['51.55684', '0.61562'], '22:07:08': ['51.55660', '0.59219'], '22:07:15': ['51.55641', '0.57129'], '22:07:23': ['51.55614', '0.54863'], '22:07:29': ['51.55600', '0.53101'], '22:07:36': ['51.55577', '0.50760'], '22:07:43': ['51.55558', '0.48775'], '22:07:49': ['51.55540', '0.47004'], '22:07:55': ['51.55521', '0.45135'], '22:08:02': ['51.55504', '0.43151'], '22:08:07': ['51.55486', '0.41600'], '22:08:35': ['51.55381', '0.33112'], '22:08:42': ['51.55358', '0.31067'], '22:08:47': ['51.55339', '0.29522']}",30000,2025-07-06 22:08:49
40666A,Airbus,A320 214,Airbus A320 214,easyJet UK,"{'22:00:06': ['51.07684', '0.32806'], '22:00:32': ['51.11380', '0.28149'], '22:00:39': ['51.12348', '0.26924'], '22:00:54': ['51.14490', '0.24223'], '22:01:00': ['51.15344', '0.23138'], '22:01:06': ['51.16189', '0.22072'], '22:01:12': ['51.17041', '0.20996'], '22:01:18': ['51.17899', '0.19909'], '22:01:33': ['51.19978', '0.17273'], '22:01:40': ['51.20960', '0.16029'], '22:01:46': ['51.21835', '0.14921'], '22:01:53': ['51.22822', '0.13664'], '22:01:59': ['51.23665', '0.12596'], '22:02:05': ['51.24549', '0.11475'], '22:02:12': ['51.25597', '0.10155'], '22:02:19': ['51.26500', '0.09018'], '22:02:33': ['51.28487', '0.06510'], '22:02:39': ['51.29368', '0.05394'], '22:02:44': ['51.30201', '0.04341'], '22:03:04': ['51.32954', '0.00869'], '22:03:17': ['51.34808', '-0.01470'], '22:03:30': ['51.36769', '-0.03960'], '22:03:47': ['51.39221', '-0.07089'], '22:04:12': ['51.42281', '-0.12527'], '22:04:26': ['51.43666', '-0.15797'], '22:04:40': ['51.45012', '-0.19018'], '22:04:49': ['51.45872', '-0.21067'], '22:05:02': ['51.47081', '-0.23941'], '22:05:10': ['51.47821', '-0.25719'], '22:05:17': ['51.48459', '-0.27243'], '22:05:44': ['51.50908', '-0.33078'], '22:05:51': ['51.51549', '-0.34614'], '22:05:59': ['51.52271', '-0.36331'], '22:07:29': ['51.54826', '-0.59801'], '22:08:07': ['51.54776', '-0.70246'], '22:08:35': ['51.54762', '-0.78010'], '22:08:42': ['51.54771', '-0.79742']}",25150,2025-07-06 22:08:45
407B04,Embraer,EMB-190 LR,Embraer EMB-190 LR,KLM cityhopper,"{'22:00:07': ['51.83056', '1.49574'], '22:00:14': ['51.82832', '1.47373'], '22:00:21': ['51.82605', '1.45164'], '22:00:33': ['51.82223', '1.41411'], '22:00:39': ['51.82000', '1.39267'], '22:00:47': ['51.81753', '1.36856'], '22:00:55': ['51.81506', '1.34491'], '22:01:01': ['51.81313', '1.32638'], '22:01:07': ['51.81120', '1.30752'], '22:01:13': ['51.80920', '1.28838'], '22:01:19': ['51.80731', '1.27018'], '22:01:27': ['51.80463', '1.24451'], '22:01:34': ['51.80235', '1.22299'], '22:01:40': ['51.80044', '1.20445'], '22:01:46': ['51.79839', '1.18504'], '22:01:53': ['51.79607', '1.16310'], '22:01:59': ['51.79417', '1.14503'], '22:02:06': ['51.79198', '1.12402'], '22:02:12': ['51.78969', '1.10272'], '22:02:19': ['51.78746', '1.08131'], '22:02:26': ['51.78529', '1.06077'], '22:02:32': ['51.78319', '1.04081'], '22:02:39': ['51.78090', '1.01950'], '22:02:45': ['51.77907', '1.00191'], '22:02:51': ['51.77724', '0.98491'], '22:02:58': ['51.77479', '0.96184'], '22:03:04': ['51.77270', '0.94231'], '22:03:10': ['51.77084', '0.92522'], '22:03:17': ['51.76868', '0.90489'], '22:03:23': ['51.76653', '0.88507'], '22:03:31': ['51.76409', '0.86227'], '22:03:37': ['51.76195', '0.84244'], '22:03:42': ['51.76030', '0.82724'], '22:03:47': ['51.75850', '0.81047'], '22:03:53': ['51.75668', '0.79384'], '22:03:59': ['51.75471', '0.77572'], '22:04:06': ['51.75229', '0.75345'], '22:04:12': ['51.75021', '0.73418'], '22:04:20': ['51.74757', '0.71003'], '22:04:27': ['51.74529', '0.68895'], '22:04:34': ['51.74300', '0.66816'], '22:04:40': ['51.74098', '0.64975'], '22:04:49': ['51.73769', '0.61966'], '22:05:03': ['51.73322', '0.57915'], '22:05:11': ['51.73062', '0.55565'], '22:05:17': ['51.72829', '0.53467'], '22:05:24': ['51.72615', '0.51506'], '22:05:39': ['51.72102', '0.46885'], '22:05:44': ['51.71924', '0.45281'], '22:05:51': ['51.71679', '0.43121'], '22:05:59': ['51.71425', '0.40835'], '22:06:07': ['51.71148', '0.38338'], '22:06:14': ['51.70953', '0.36240'], '22:06:22': ['51.70766', '0.33605'], '22:06:29': ['51.70670', '0.31601'], '22:06:35': ['51.70590', '0.29564'], '22:06:44': ['51.70496', '0.27028'], '22:06:52': ['51.70403', '0.24628'], '22:07:08': ['51.70221', '0.19694'], '22:07:15': ['51.70143', '0.17570'], '22:07:22': ['51.70070', '0.15433'], '22:07:29': ['51.69994', '0.13290'], '22:07:36': ['51.69919', '0.11070'], '22:07:43': ['51.69855', '0.09041'], '22:07:49': ['51.69798', '0.07248'], '22:08:01': ['51.69676', '0.03378'], '22:08:06': ['51.69631', '0.01831'], '22:08:36': ['51.69379', '-0.07072'], '22:08:42': ['51.69328', '-0.08904']}",30000,2025-07-06 22:08:45
4A29F9,Airbus,A320 232SL,Airbus A320 232SL,HiSky Europe,"{'22:00:07': ['51.45085', '1.31903'], '22:00:14': ['51.45307', '1.29593'], '22:00:21': ['51.45502', '1.27568'], '22:00:27': ['51.45680', '1.25664'], '22:00:32': ['51.45842', '1.23917'], '22:00:39': ['51.46056', '1.21711'], '22:00:48': ['51.46307', '1.19165'], '22:00:54': ['51.46517', '1.17058'], '22:01:00': ['51.46699', '1.15234'], '22:01:07': ['51.46907', '1.13129'], '22:01:13': ['51.47090', '1.11237'], '22:01:19': ['51.47253', '1.09535'], '22:01:27': ['51.47488', '1.07065'], '22:01:33': ['51.47676', '1.05090'], '22:01:40': ['51.47887', '1.02841'], '22:01:46': ['51.48035', '1.01242'], '22:01:53': ['51.48240', '0.98991'], '22:01:59': ['51.48409', '0.97110'], '22:02:06': ['51.48594', '0.95085'], '22:02:12': ['51.48784', '0.93027'], '22:02:19': ['51.48980', '0.90912'], '22:02:26': ['51.49171', '0.88898'], '22:02:32': ['51.49365', '0.86851'], '22:02:39': ['51.49562', '0.84785'], '22:02:44': ['51.49713', '0.83229'], '22:02:50': ['51.49869', '0.81551'], '22:02:58': ['51.50102', '0.79086'], '22:03:04': ['51.50285', '0.77164'], '22:03:10': ['51.50451', '0.75371'], '22:03:17': ['51.50638', '0.73393'], '22:03:23': ['51.50828', '0.71358'], '22:03:31': ['51.51027', '0.69206'], '22:03:37': ['51.51201', '0.67321'], '22:03:42': ['51.51359', '0.65651'], '22:03:47': ['51.51494', '0.64201'], '22:03:53': ['51.51663', '0.62414'], '22:03:59': ['51.51843', '0.60471'], '22:04:06': ['51.52034', '0.58388'], '22:04:12': ['51.52188', '0.56694'], '22:04:20': ['51.52428', '0.54093'], '22:04:27': ['51.52606', '0.52103'], '22:04:34': ['51.52793', '0.49973'], '22:04:40': ['51.52959', '0.48073'], '22:04:49': ['51.53201', '0.45341'], '22:04:57': ['51.53407', '0.43025'], '22:05:03': ['51.53547', '0.41374'], '22:05:10': ['51.53737', '0.39120'], '22:05:17': ['51.53929', '0.36987'], '22:05:24': ['51.54119', '0.34920'], '22:05:32': ['51.54334', '0.32578'], '22:05:39': ['51.54520', '0.30509'], '22:05:44': ['51.54662', '0.28943'], '22:05:52': ['51.54864', '0.26688'], '22:05:58': ['51.55051', '0.24612'], '22:06:06': ['51.55255', '0.22270'], '22:06:13': ['51.55446', '0.20096'], '22:06:22': ['51.55673', '0.17504'], '22:06:28': ['51.55833', '0.15641'], '22:06:36': ['51.56028', '0.13382'], '22:06:44': ['51.56233', '0.11009'], '22:06:52': ['51.56447', '0.08455'], '22:07:00': ['51.56652', '0.05981'], '22:07:08': ['51.56847', '0.03731'], '22:07:15': ['51.57024', '0.01686'], '22:07:23': ['51.57238', '-0.00694'], '22:07:36': ['51.57596', '-0.04751'], '22:07:43': ['51.57774', '-0.06859'], '22:07:49': ['51.57932', '-0.08698'], '22:07:55': ['51.58090', '-0.10534'], '22:08:02': ['51.58255', '-0.12516'], '22:08:07': ['51.58379', '-0.13985'], '22:08:35': ['51.59102', '-0.22537'], '22:08:42': ['51.59277', '-0.24605'], '22:08:47': ['51.59404', '-0.26137']}",36025,2025-07-06 22:08:49
398578,Embraer,EMB-190 STD,Embraer EMB-190 STD,Air France HOP,"{'22:05:51': ['51.10551', '1.11343'], '22:05:59': ['51.11673', '1.09997'], '22:06:52': ['51.19771', '1.00243'], '22:07:43': ['51.27473', '0.90935'], '22:07:49': ['51.28418', '0.89791'], '22:07:56': ['51.29411', '0.88588'], '22:08:02': ['51.30294', '0.87517'], '22:08:35': ['51.35399', '0.81306'], '22:08:42': ['51.36472', '0.80009'], '22:08:48': ['51.37379', '0.78903']}",36000,2025-07-06 22:08:49
4BCDA1,Boeing,737MAX 8,Boeing 737MAX 8,SunExpress,"{'22:03:42': ['51.28702', '-0.21729'], '22:03:52': ['51.27422', '-0.18295'], '22:04:33': ['51.22082', '-0.04173'], '22:04:40': ['51.21142', '-0.01709'], '22:04:49': ['51.19964', '0.01350'], '22:05:02': ['51.18256', '0.05775'], '22:05:10': ['51.17264', '0.08339'], '22:05:32': ['51.14452', '0.15759'], '22:05:44': ['51.12927', '0.19842'], '22:05:51': ['51.12035', '0.22210'], '22:05:58': ['51.11092', '0.24682'], '22:06:07': ['51.10072', '0.27344'], '22:06:13': ['51.09252', '0.29495'], '22:06:22': ['51.08191', '0.32303'], '22:06:28': ['51.07448', '0.34258'], '22:06:35': ['51.06576', '0.36575'], '22:06:43': ['51.05724', '0.39200'], '22:06:52': ['51.04990', '0.42008'], '22:07:43': ['51.02417', '0.59950'], '22:08:35': ['51.00291', '0.78484'], '22:08:42': ['50.99993', '0.81001']}",39000,2025-07-06 22:08:47
406540,Airbus,A319 111,Airbus A319 111,easyJet UK,"{'22:08:42': ['51.25383', '0.00748']}",13575,2025-07-06 22:08:47
4CA647,Boeing,737NG 8AS W,Boeing 737NG 8AS W,Ryanair,"{'22:03:10': ['51.49069', '-0.30624'], '22:03:17': ['51.49937', '-0.29953'], '22:03:23': ['51.50693', '-0.29366'], '22:04:06': ['51.56112', '-0.25162'], '22:04:12': ['51.56854', '-0.24586'], '22:04:33': ['51.59482', '-0.22568'], '22:04:40': ['51.60320', '-0.21928'], '22:05:17': ['51.64851', '-0.18491'], '22:05:32': ['51.66586', '-0.17155'], '22:05:39': ['51.67392', '-0.16533'], '22:05:59': ['51.69789', '-0.14679'], '22:06:07': ['51.70776', '-0.13916'], '22:06:13': ['51.71497', '-0.13359'], '22:06:22': ['51.72537', '-0.12553'], '22:06:29': ['51.73320', '-0.11944'], '22:06:44': ['51.75124', '-0.10559'], '22:06:52': ['51.76071', '-0.09880'], '22:07:01': ['51.77149', '-0.09125'], '22:07:08': ['51.78008', '-0.08522'], '22:07:15': ['51.78850', '-0.07943'], '22:07:22': ['51.79779', '-0.07304'], '22:07:28': ['51.80501', '-0.06805'], '22:07:36': ['51.81496', '-0.06117'], '22:07:43': ['51.82343', '-0.05530'], '22:07:48': ['51.82954', '-0.05104'], '22:08:01': ['51.84504', '-0.04013'], '22:08:42': ['51.89360', '-0.00580'], '22:08:48': ['51.89983', '-0.00133']}",9525,2025-07-06 22:08:49
505D98,Boeing,737NG 8BK W,Boeing 737NG 8BK W,Jet2,"{'22:00:14': ['51.57944', '0.90927'], '22:00:21': ['51.58241', '0.89249'], '22:00:27': ['51.58500', '0.87761'], '22:00:32': ['51.58745', '0.86376'], '22:00:39': ['51.59038', '0.84699'], '22:00:54': ['51.59697', '0.80965'], '22:01:00': ['51.59962', '0.79483'], '22:01:06': ['51.60232', '0.77950'], '22:01:13': ['51.60521', '0.76296'], '22:01:19': ['51.60758', '0.74936'], '22:01:27': ['51.61098', '0.72985'], '22:01:34': ['51.61404', '0.71203'], '22:01:40': ['51.61670', '0.69674'], '22:01:46': ['51.61913', '0.68264'], '22:01:53': ['51.62210', '0.66566'], '22:01:59': ['51.62466', '0.65086'], '22:02:05': ['51.62755', '0.63431'], '22:02:12': ['51.63062', '0.61679'], '22:02:19': ['51.63364', '0.59950'], '22:02:26': ['51.63647', '0.58317'], '22:02:32': ['51.63899', '0.56884'], '22:02:39': ['51.64212', '0.55077'], '22:02:45': ['51.64482', '0.53543'], '22:02:50': ['51.64691', '0.52296'], '22:02:58': ['51.65031', '0.50301'], '22:03:04': ['51.65291', '0.48778'], '22:03:10': ['51.65533', '0.47353'], '22:03:17': ['51.65818', '0.45677'], '22:03:23': ['51.66106', '0.44005'], '22:03:31': ['51.66423', '0.42168'], '22:03:37': ['51.66687', '0.40657'], '22:03:47': ['51.67126', '0.38116'], '22:03:53': ['51.67360', '0.36767'], '22:03:59': ['51.67648', '0.35097'], '22:04:06': ['51.67932', '0.33455'], '22:04:12': ['51.68184', '0.31987'], '22:04:20': ['51.68504', '0.30136'], '22:04:27': ['51.68788', '0.28481'], '22:04:34': ['51.69086', '0.26733'], '22:04:40': ['51.69356', '0.25131'], '22:04:49': ['51.69724', '0.22972'], '22:05:03': ['51.70285', '0.19649'], '22:05:10': ['51.70564', '0.18001'], '22:05:17': ['51.70874', '0.16197'], '22:05:24': ['51.71148', '0.14557'], '22:05:32': ['51.71511', '0.12711'], '22:05:39': ['51.71907', '0.11101'], '22:05:44': ['51.72247', '0.09888'], '22:05:51': ['51.72748', '0.08336'], '22:05:59': ['51.73318', '0.06783'], '22:06:07': ['51.73965', '0.05063'], '22:06:13': ['51.74460', '0.03734'], '22:06:22': ['51.75166', '0.01823'], '22:06:28': ['51.75655', '0.00511'], '22:06:36': ['51.76241', '-0.01068'], '22:06:44': ['51.76863', '-0.02747'], '22:06:52': ['51.77493', '-0.04433'], '22:07:00': ['51.78182', '-0.06294'], '22:07:07': ['51.78741', '-0.07782'], '22:07:22': ['51.79875', '-0.10853'], '22:07:29': ['51.80420', '-0.12337'], '22:07:36': ['51.81020', '-0.13970'], '22:07:49': ['51.81981', '-0.16576'], '22:08:01': ['51.82951', '-0.19204'], '22:08:35': ['51.85579', '-0.26360'], '22:08:48': ['51.86566', '-0.29053']}",22000,2025-07-06 22:08:50
4CA893,Boeing,737NG 8AS W,Boeing 737NG 8AS W,Ryanair,"{'22:02:06': ['51.84517', '0.17393'], '22:02:13': ['51.84039', '0.16663'], '22:02:19': ['51.83624', '0.15976'], '22:02:26': ['51.83252', '0.14984'], '22:02:32': ['51.83149', '0.14046'], '22:02:39': ['51.83235', '0.12976'], '22:02:51': ['51.83722', '0.11475'], '22:02:58': ['51.84224', '0.10749'], '22:03:10': ['51.85313', '0.10096'], '22:03:59': ['51.90472', '0.08583'], '22:04:13': ['51.91933', '0.07278'], '22:04:33': ['51.93233', '0.03845'], '22:04:40': ['51.93361', '0.02510'], '22:04:50': ['51.93428', '0.00549'], '22:04:57': ['51.93471', '-0.00992'], '22:05:10': ['51.93549', '-0.03610'], '22:05:24': ['51.93633', '-0.06537'], '22:05:32': ['51.93680', '-0.08153'], '22:05:59': ['51.93191', '-0.13906'], '22:06:07': ['51.92925', '-0.15765'], '22:06:13': ['51.92711', '-0.17241'], '22:06:22': ['51.92432', '-0.19196'], '22:06:28': ['51.92204', '-0.20772'], '22:06:35': ['51.91962', '-0.22428'], '22:06:43': ['51.91682', '-0.24319'], '22:06:52': ['51.91374', '-0.26413'], '22:07:00': ['51.91086', '-0.28389'], '22:07:15': ['51.90559', '-0.31990'], '22:07:29': ['51.90090', '-0.35494'], '22:07:36': ['51.89895', '-0.37228'], '22:07:49': ['51.89541', '-0.40477'], '22:07:55': ['51.89383', '-0.41977'], '22:08:07': ['51.89066', '-0.44922'], '22:08:36': ['51.88214', '-0.52391'], '22:08:47': ['51.87861', '-0.55359']}",16625,2025-07-06 22:08:50
